condition,strategy,snr_db,probe_evm_percent,probe_ber,packet_error_rate,probe_pilot_error_percent,estimated_channel_magnitude,selected_modulation,average_ber,success_rate,delivered_bits_per_frame,true_channel_magnitude,interference_present,interference_to_signal_db,interference_bin
234,ml_based,22.463249900155354,8.154734640518056,0.0,0.0,6.585807616265813,0.7073068795125289,64QAM,0.0010416666666666667,1.0,360.0,0.7158141412613783,0,,-1
235,fixed_qpsk,18.753266450943382,13.371870860340568,0.0,0.0,8.384039919724344,0.4811723460547327,QPSK,0.0,1.0,120.0,0.49382273311152725,0,,-1
235,rule_based,18.753266450943382,13.371870860340568,0.0,0.0,8.384039919724344,0.4811723460547327,16QAM,0.0005208333333333333,1.0,240.0,0.49382273311152725,0,,-1
235,ml_based,18.753266450943382,13.371870860340568,0.0,0.0,8.384039919724344,0.4811723460547327,16QAM,0.0005208333333333333,1.0,240.0,0.49382273311152725,0,,-1
236,fixed_qpsk,7.061139481658315,43.8518818541393,0.008333333333333333,1.0,38.539056134717285,0.570455655404727,QPSK,0.017708333333333333,0.5,60.0,0.5451915766425801,0,,-1
236,rule_based,7.061139481658315,43.8518818541393,0.008333333333333333,1.0,38.539056134717285,0.570455655404727,QPSK,0.017708333333333333,0.5,60.0,0.5451915766425801,0,,-1
236,ml_based,7.061139481658315,43.8518818541393,0.008333333333333333,1.0,38.539056134717285,0.570455655404727,QPSK,0.017708333333333333,0.5,60.0,0.5451915766425801,0,,-1
237,fixed_qpsk,27.06177689119518,4.852335820656575,0.0,0.0,3.3094727116591534,1.6356529190096323,QPSK,0.0,1.0,120.0,1.6231978244321588,0,,-1
237,rule_based,27.06177689119518,4.852335820656575,0.0,0.0,3.3094727116591534,1.6356529190096323,64QAM,0.0,1.0,360.0,1.6231978244321588,0,,-1
237,ml_based,27.06177689119518,4.852335820656575,0.0,0.0,3.3094727116591534,1.6356529190096323,64QAM,0.0,1.0,360.0,1.6231978244321588,0,,-1
238,fixed_qpsk,29.72898879350644,3.6212364155646815,0.0,0.0,2.2208215894793906,0.5534273033028587,QPSK,0.0,1.0,120.0,0.5534171156285821,0,,-1
238,rule_based,29.72898879350644,3.6212364155646815,0.0,0.0,2.2208215894793906,0.5534273033028587,64QAM,0.0,1.0,360.0,0.5534171156285821,0,,-1
238,ml_based,29.72898879350644,3.6212364155646815,0.0,0.0,2.2208215894793906,0.5534273033028587,64QAM,0.0,1.0,360.0,0.5534171156285821,0,,-1
239,fixed_qpsk,29.060032494976472,3.7432041139994534,0.0,0.0,3.5792231501477487,1.397075058360184,QPSK,0.0,1.0,120.0,1.4069307906108566,0,,-1
239,rule_based,29.060032494976472,3.7432041139994534,0.0,0.0,3.5792231501477487,1.397075058360184,64QAM,0.0,1.0,360.0,1.4069307906108566,0,,-1
239,ml_based,29.060032494976472,3.7432041139994534,0.0,0.0,3.5792231501477487,1.397075058360184,64QAM,0.0,1.0,360.0,1.4069307906108566,0,,-1
240,fixed_qpsk,5.052467243963327,62.46564696071615,0.06666666666666667,1.0,35.47546181503462,0.8009187498990883,QPSK,0.052083333333333336,0.125,15.0,0.7914970391271889,0,,-1
240,rule_based,5.052467243963327,62.46564696071615,0.06666666666666667,1.0,35.47546181503462,0.8009187498990883,QPSK,0.052083333333333336,0.125,15.0,0.7914970391271889,0,,-1
240,ml_based,5.052467243963327,62.46564696071615,0.06666666666666667,1.0,35.47546181503462,0.8009187498990883,QPSK,0.052083333333333336,0.125,15.0,0.7914970391271889,0,,-1
241,fixed_qpsk,3.7747449723342354,53.779355914718685,0.056249999999999994,1.0,27.635558687861085,1.2303698887660433,QPSK,0.07708333333333334,0.0,0.0,0.9069030350413938,1,-23.02717073995094,26
241,rule_based,3.7747449723342354,53.779355914718685,0.056249999999999994,1.0,27.635558687861085,1.2303698887660433,QPSK,0.07708333333333334,0.0,0.0,0.9069030350413938,1,-23.02717073995094,26
241,ml_based,3.7747449723342354,53.779355914718685,0.056249999999999994,1.0,27.635558687861085,1.2303698887660433,QPSK,0.07708333333333334,0.0,0.0,0.9069030350413938,1,-23.02717073995094,26
242,fixed_qpsk,20.96259877133622,10.34465993651421,0.0,0.0,6.792772624576849,0.37815463504392377,QPSK,0.0,1.0,120.0,0.37748228364899183,0,,-1
242,rule_based,20.96259877133622,10.34465993651421,0.0,0.0,6.792772624576849,0.37815463504392377,64QAM,0.009722222222222222,0.625,225.0,0.37748228364899183,0,,-1
242,ml_based,20.96259877133622,10.34465993651421,0.0,0.0,6.792772624576849,0.37815463504392377,16QAM,0.0,1.0,240.0,0.37748228364899183,0,,-1
243,fixed_qpsk,10.58044780298453,30.503395029560295,0.0,0.0,19.58723277970313,1.982114207692798,QPSK,0.0010416666666666667,1.0,120.0,1.9867107782361064,1,-29.712038821098126,-24
243,rule_based,10.58044780298453,30.503395029560295,0.0,0.0,19.58723277970313,1.982114207692798,QPSK,0.0010416666666666667,1.0,120.0,1.9867107782361064,1,-29.712038821098126,-24
