condition,strategy,snr_db,probe_evm_percent,probe_ber,packet_error_rate,selected_modulation,average_ber,success_rate,delivered_bits_per_frame
69,rule_based,9.427143936536481,34.552333591479616,0.0026041666666666665,0.3333333333333333,QPSK,0.0015625,1.0,128.0
69,ml_based,9.427143936536481,34.552333591479616,0.0026041666666666665,0.3333333333333333,QPSK,0.0015625,1.0,128.0
70,fixed_qpsk,17.011492750933467,14.701977133779161,0.0,0.0,QPSK,0.0,1.0,128.0
70,rule_based,17.011492750933467,14.701977133779161,0.0,0.0,16QAM,0.0,1.0,256.0
70,ml_based,17.011492750933467,14.701977133779161,0.0,0.0,16QAM,0.0,1.0,256.0
71,fixed_qpsk,12.497128869450897,22.272022719582516,0.0,0.0,QPSK,0.0,1.0,128.0
71,rule_based,12.497128869450897,22.272022719582516,0.0,0.0,16QAM,0.01875,0.2,51.2
71,ml_based,12.497128869450897,22.272022719582516,0.0,0.0,QPSK,0.0,1.0,128.0
72,fixed_qpsk,23.22636472892625,6.622342751380571,0.0,0.0,QPSK,0.0,1.0,128.0
72,rule_based,23.22636472892625,6.622342751380571,0.0,0.0,64QAM,0.0010416666666666667,1.0,384.0
72,ml_based,23.22636472892625,6.622342751380571,0.0,0.0,64QAM,0.0010416666666666667,1.0,384.0
73,fixed_qpsk,28.753932028921014,3.648300228096421,0.0,0.0,QPSK,0.0,1.0,128.0
73,rule_based,28.753932028921014,3.648300228096421,0.0,0.0,64QAM,0.0,1.0,384.0
73,ml_based,28.753932028921014,3.648300228096421,0.0,0.0,64QAM,0.0,1.0,384.0
74,fixed_qpsk,26.6518627895003,4.731906323217048,0.0,0.0,QPSK,0.0,1.0,128.0
74,rule_based,26.6518627895003,4.731906323217048,0.0,0.0,64QAM,0.0,1.0,384.0
74,ml_based,26.6518627895003,4.731906323217048,0.0,0.0,64QAM,0.0,1.0,384.0
75,fixed_qpsk,18.628063956001483,11.614789606608893,0.0,0.0,QPSK,0.0,1.0,128.0
75,rule_based,18.628063956001483,11.614789606608893,0.0,0.0,16QAM,0.0,1.0,256.0
75,ml_based,18.628063956001483,11.614789606608893,0.0,0.0,16QAM,0.0,1.0,256.0
76,fixed_qpsk,4.808229380042094,59.4458186503251,0.052083333333333336,1.0,QPSK,0.03125,0.0,0.0
76,rule_based,4.808229380042094,59.4458186503251,0.052083333333333336,1.0,QPSK,0.03125,0.0,0.0
76,ml_based,4.808229380042094,59.4458186503251,0.052083333333333336,1.0,QPSK,0.03125,0.0,0.0
77,fixed_qpsk,28.411862499349883,3.599925973373943,0.0,0.0,QPSK,0.0,1.0,128.0
77,rule_based,28.411862499349883,3.599925973373943,0.0,0.0,64QAM,0.0,1.0,384.0
77,ml_based,28.411862499349883,3.599925973373943,0.0,0.0,64QAM,0.0,1.0,384.0
78,fixed_qpsk,0.7089728601532819,88.07944397933328,0.11979166666666667,1.0,QPSK,0.1296875,0.0,0.0
78,rule_based,0.7089728601532819,88.07944397933328,0.11979166666666667,1.0,QPSK,0.1296875,0.0,0.0
78,ml_based,0.7089728601532819,88.07944397933328,0.11979166666666667,1.0,QPSK,0.1296875,0.0,0.0
79,fixed_qpsk,8.931283692625843,31.76428971255541,0.0,0.0,QPSK,0.0,1.0,128.0
79,rule_based,8.931283692625843,31.76428971255541,0.0,0.0,QPSK,0.0,1.0,128.0
79,ml_based,8.931283692625843,31.76428971255541,0.0,0.0,QPSK,0.0,1.0,128.0
80,fixed_qpsk,8.448404793017874,39.21301661517181,0.005208333333333333,0.3333333333333333,QPSK,0.003125,1.0,128.0
80,rule_based,8.448404793017874,39.21301661517181,0.005208333333333333,0.3333333333333333,QPSK,0.003125,1.0,128.0
80,ml_based,8.448404793017874,39.21301661517181,0.005208333333333333,0.3333333333333333,QPSK,0.003125,1.0,128.0
81,fixed_qpsk,20.15477945168114,10.052324349981829,0.0,0.0,QPSK,0.0,1.0,128.0
81,rule_based,20.15477945168114,10.052324349981829,0.0,0.0,64QAM,0.00625,0.8,307.2
81,ml_based,20.15477945168114,10.052324349981829,0.0,0.0,64QAM,0.00625,0.8,307.2
82,fixed_qpsk,14.620891982175344,18.805030670064934,0.0,0.0,QPSK,0.0,1.0,128.0
82,rule_based,14.620891982175344,18.805030670064934,0.0,0.0,16QAM,0.00625,1.0,256.0
82,ml_based,14.620891982175344,18.805030670064934,0.0,0.0,16QAM,0.00625,1.0,256.0
83,fixed_qpsk,2.7866564627234167,74.75585894398348,0.10677083333333333,1.0,QPSK,0.0859375,0.0,0.0
83,rule_based,2.7866564627234167,74.75585894398348,0.10677083333333333,1.0,QPSK,0.0859375,0.0,0.0
83,ml_based,2.7866564627234167,74.75585894398348,0.10677083333333333,1.0,QPSK,0.0859375,0.0,0.0
84,fixed_qpsk,0.38573663234791056,93.5931133203214,0.140625,1.0,QPSK,0.1328125,0.0,0.0
84,rule_based,0.38573663234791056,93.5931133203214,0.140625,1.0,QPSK,0.1328125,0.0,0.0
84,ml_based,0.38573663234791056,93.5931133203214,0.140625,1.0,QPSK,0.1328125,0.0,0.0
85,fixed_qpsk,18.129472403209135,11.86250649594091,0.0,0.0,QPSK,0.0,1.0,128.0
85,rule_based,18.129472403209135,11.86250649594091,0.0,0.0,16QAM,0.0,1.0,256.0
85,ml_based,18.129472403209135,11.86250649594091,0.0,0.0,16QAM,0.0,1.0,256.0
86,fixed_qpsk,14.744499970227784,17.91486667794435,0.0,0.0,QPSK,0.0,1.0,128.0
86,rule_based,14.744499970227784,17.91486667794435,0.0,0.0,16QAM,0.00546875,0.6,153.6
86,ml_based,14.744499970227784,17.91486667794435,0.0,0.0,16QAM,0.00546875,0.6,153.6
87,fixed_qpsk,18.041463640212033,12.074126635723998,0.0,0.0,QPSK,0.0,1.0,128.0
87,rule_based,18.041463640212033,12.074126635723998,0.0,0.0,16QAM,0.0,1.0,256.0
87,ml_based,18.041463640212033,12.074126635723998,0.0,0.0,16QAM,0.0,1.0,256.0
